N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3,time
1.8935985499365357e-10,1.5561622528553248e-07,9.637419102827363e-08,1.362026325870296e-11,1.2569612604374846e-10,2.82646857353909e-06,0.0002566692926612395,0.0007700034249904966,3.026845982206183e-07,2.7987831981820693e-13,2.0026121592781944e-09,2.013904464791544e-09,4.286034249360195e-12,5.78036662419022e-08,1.021974851583418e-09,4.1994235954367257e-13,5.7601496905590466e-09
1.8935982334938916e-10,1.5561622521953292e-07,9.637419086264694e-08,1.362026273910947e-11,1.2569613146692674e-10,2.8264685736126155e-06,0.0002566692926610319,0.0007700034249905005,3.026845982227596e-07,2.8011542119025753e-13,2.0026121582322874e-09,2.0139044773916947e-09,4.286033611999888e-12,5.780366630846978e-08,1.0219747763580277e-09,4.1994237466730096e-13,5.8054538953911106e-09
1.8935983574013163e-10,1.5561622527558381e-07,9.637419100340348e-08,1.3620263169561946e-11,1.2569612658340277e-10,2.8264685735484972e-06,0.000256669292660888,0.0007700034249904972,3.0268459822091854e-07,2.8024879532627536e-13,2.002612159122564e-09,2.0139044666872613e-09,4.286034186263217e-12,5.780366625219397e-08,1.021974841936302e-09,4.199423629438005e-13,5.8507581002231746e-09
1.8935886633329365e-10,1.556162225528306e-07,9.637418417385388e-08,1.3620241782837291e-11,1.2569635823905436e-10,2.8264685766300975e-06,0.0002566692926616932,0.000770003424990654,3.0268459831016357e-07,2.803254154169516e-13,2.0026121159474163e-09,2.0139049863576052e-09,4.286006934624095e-12,5.7803668990135795e-08,1.0219716905417245e-09,4.19942954094595e-13,5.941370062600981e-09
1.8935841467075275e-10,1.556162212912831e-07,9.637418101460984e-08,1.3620231761153319e-11,1.2569646545739672e-10,2.8264685780576932e-06,0.0002566692926620587,0.0007700034249907246,3.0268459835161244e-07,2.8037103697074006e-13,2.0026120959696107e-09,2.0139052269343625e-09,4.285994307471409e-12,5.78036702580696e-08,1.0219702313038843e-09,4.1994322779382975e-13,6.031982024978788e-09
1.8934824189535434e-10,1.556161925095825e-07,9.637410917616175e-08,1.3620004246224948e-11,1.2569890650468204e-10,2.826468610624535e-06,0.00025666929267134224,0.0007700034249922494,3.026845992954744e-07,2.8033772733015334e-13,2.0026116417624343e-09,2.013910703443498e-09,4.285706014797894e-12,5.7803699145214805e-08,1.021936983670621e-09,4.199494534240821e-13,6.122593987356595e-09
1.8934337935856605e-10,1.5561617869770378e-07,9.637407511262423e-08,1.3619895026563472e-11,1.2570006786749839e-10,2.826468626238266e-06,0.00025666929267578666,0.0007700034249928292,3.02684599747185e-07,2.803160061998071e-13,2.002611426429631e-09,2.0139133113338666e-09,4.285567509273837e-12,5.780371294231224e-08,1.0219211116340656e-09,4.199524161992857e-13,7.028706505707305e-09
1.8924102906825628e-10,1.5561588258916195e-07,9.6373363821422e-08,1.3617619889063787e-11,1.257243908458437e-10,2.8264689600754656e-06,0.0002566692927694801,0.000770003424999104,3.026846092643699e-07,2.7972615482369704e-13,2.002606975156008e-09,2.0139679605912086e-09,4.282609092339127e-12,5.7804004618900876e-08,1.021585987495313e-09,4.2001433055788143e-13,7.934819024058015e-09
1.8919178262849132e-10,1.556157323304781e-07,9.637303876370484e-08,1.3616564759522613e-11,1.2573578871716737e-10,2.8264691280622004e-06,0.0002566692928146419,0.0007700034249895934,3.0268461384432743e-07,2.7940499254654945e-13,2.002604977732061e-09,2.013993711661543e-09,4.28111688532059e-12,5.780414618993973e-08,1.0214240401656828e-09,4.200432582890482e-13,1.69959299967104e-08
1.890317246565179e-10,1.5561518860756615e-07,9.637207512412581e-08,1.3613318572923464e-11,1.2577120543274893e-10,2.826469726252483e-06,0.0002566692929617653,0.0007700034248838182,3.0268462872299203e-07,2.78292165670344e-13,2.0025995354014198e-09,2.0140736857970953e-09,4.2758880271215235e-12,5.780461519966731e-08,1.0208921965972673e-09,4.201310927154546e-13,2.6057040969362788e-08
